Name,n_features,FRR,FAR
Danmini_Doorbell,115,18.45,0.0
Danmini_Doorbell,5,9.69,0.01
Danmini_Doorbell,10,7.21,0.0
Ecobee_Thermostat,115,18.16,0.0
Ecobee_Thermostat,5,18.53,24.6
Ecobee_Thermostat,10,6.18,5.74
Ennio_Doorbell,115,8.33,17.27
Ennio_Doorbell,5,12.01,0.04
Ennio_Doorbell,10,5.26,0.08
Philips_B120N10_Baby_Monitor,115,14.29,42.86
Philips_B120N10_Baby_Monitor,5,8.1,0.0
Philips_B120N10_Baby_Monitor,10,20.43,0.0
Provision_PT_737E_Security_Camera,115,9.95,39.05
Provision_PT_737E_Security_Camera,5,15.69,0.02
Provision_PT_737E_Security_Camera,10,0.51,1.96
Provision_PT_838_Security_Camera,115,13.52,35.78
Provision_PT_838_Security_Camera,5,11.84,0.01
Provision_PT_838_Security_Camera,10,4.36,4.18
Samsung_SNH_1011_N_Webcam,115,9.54,18.55
Samsung_SNH_1011_N_Webcam,5,12.7,64.55
Samsung_SNH_1011_N_Webcam,10,3.36,0.06
SimpleHome_XCS7_1002_WHT_Security_Camera,115,13.96,51.14
SimpleHome_XCS7_1002_WHT_Security_Camera,5,13.73,23.64
SimpleHome_XCS7_1002_WHT_Security_Camera,10,2.95,0.82
SimpleHome_XCS7_1003_WHT_Security_Camera,115,23.04,0.0
SimpleHome_XCS7_1003_WHT_Security_Camera,5,5.68,24.25
SimpleHome_XCS7_1003_WHT_Security_Camera,10,0.18,3.0
